NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
BOXFORD COUNCIL OF AGING SENIOR CENTER,4 MIDDLETON RD,BOXFORD,MA,1921,2324.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
TRITON REGIONAL SCHOOL DISTRICT,112 ELM ST,BYFIELD,MA,1922,2814.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
NORTH SHORE COMMUNITY COLLEGE,PO BOX 3340,DANVERS,MA,1923,840.0,25009,ESSEX,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,,,,,Educational Instituions
MERIDIAN ADULT DAY CENTER,5 ELECTRONICS AVE,DANVERS,MA,1923,1008.0,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,,Healthcare
CEDAR GLEN,44 SUMMER ST,DANVERS,MA,1923,1574.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90.0,,,,Healthcare
DANVERS COUNCIL ON AGING SENIOR CENTER,25 STONE ST,DANVERS,MA,1923,1856.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HUNT NURSING RETIRMENT HOME,90 LINDALL ST,DANVERS,MA,1923,2125.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,110.0,PREMIER,,,Healthcare
DANVERS TWIN OAKS,63 LOCUST ST,DANVERS,MA,1923,2240.0,25009,ESSEX,1122.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,92.0,,,,Healthcare
DANVERS PUBLIC SCHOOLS,64 CABOT RD,DANVERS,MA,1923,2355.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
RADIUS HEALTHCARE CENTER AT DANVERS,56 LIBERTY ST,DANVERS,MA,1923,3361.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,142.0,,,,Healthcare
CATHOLIC CHARITIES-SUBSTANCE ABUSE SVCS,140 COMMONWEALTH AVE,DANVERS,MA,1923,3625.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CAB HEALTH-RECOVERY SERVICE-ADLSCNT AODA,111 MIDDLETON RD,DANVERS,MA,1923,4000.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
DAY BY DAY ADULT DAY CARE,4R BLACKBURN CTR,GLOUCESTER,MA,1930,2268.0,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,,Healthcare
PATHWAY FOR CHILDREN-YOUNG FAMILY,29 EMERSON AVE,GLOUCESTER,MA,1930,2556.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
GLOUCESTER PUBLIC SCHOOL DISTRICT,6 SCHOOL HOUSE RD,GLOUCESTER,MA,1930,2702.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
GOLDEN LIVING CENTER-GLOUCESTER,272 WASHINGTON ST,GLOUCESTER,MA,1930,4818.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,86.0,PREMIER,,,Healthcare
SEACOAST NURSING CENTER REHAB,292 WASHINGTON ST,GLOUCESTER,MA,1930,4832.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,133.0,,,,Healthcare
ADDISON GILBERT HOSPITAL,298 WASHINGTON ST,GLOUCESTER,MA,1930,4832.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
MOORES WAY-SUBSTANCE ABUSE SERVICES,23 DUNCAN ST,GLOUCESTER,MA,1930,6001.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ESSEX AGRICULTURE AND TECH HIGH SCHOOL,PO BOX 362,HATHORNE,MA,1937,362.0,25009,ESSEX,,SECONDARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
ESSEX AGRCLTL-TECHNICAL HIGH SCHL DIST,PO BOX 362,HATHORNE,MA,1937,362.0,25009,ESSEX,,SCHOOL DISTRICTS,UNCODED,251 TO 500,NOT APPLICABLE,1,UNCODED,PUBLIC,251 TO 500,,,,,Government Services
HOGAN REGIONAL CENTER-RESIDENTIAL TRTMNT,PO BOX A,HATHORNE,MA,1937,380.0,25009,ESSEX,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,COMPASS,UNCODED,51 TO 100,,,,,Healthcare
IPSWICH PUBLIC SCHOOL DISTRICT,1 LORD SQ,IPSWICH,MA,1938,1909.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
CALDWELL SKILLED NURSING AND REHAB CTR,16 GREEN ST,IPSWICH,MA,1938,2228.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,50.0,,,,Healthcare
LYNNFIELD COUNCIL ON AGING SENIOR CENTER,525 SALEM ST,LYNNFIELD,MA,1940,2359.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
MANCHESTER ESSEX REGIONAL SCHOOL DIST,PO BOX 1407,MANCHESTER,MA,1944,851.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
MANCHESTER ESSEX REG MIDDLE / HIGH SCH,36 LINCOLN ST,MANCHESTER,MA,1944,1123.0,25009,ESSEX,1122.0,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,,Educational Instituions
MARBLEHEAD CHILDRENS CENTER,21 TIOGA WAY,MARBLEHEAD,MA,1945,1577.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MARBLEHEAD COUNSELING CENTER-SBSTNC ABS,66 CLIFTON AVE,MARBLEHEAD,MA,1945,1737.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MARBLEHEAD COA SENIOR CENTER,10 HUMPHREY ST,MARBLEHEAD,MA,1945,1906.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
DEVEREUX HOUSE NURSING HOME,39 LAFAYETTE ST,MARBLEHEAD,MA,1945,1939.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,61.0,,,,Healthcare
LAFAYETTE CONVALESCENT HOME,25 LAFAYETTE ST,MARBLEHEAD,MA,1945,1939.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63.0,,,,Healthcare
JEWISH COMMUNITY CTR-NORTH SHORE CC,4 COMMUNITY RD,MARBLEHEAD,MA,1945,2766.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
ESSEX COUNTY JAIL-SHERIFFS OFFICE,PO BOX 807,MIDDLETON,MA,1949,2807.0,25009,ESSEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
TURNING POINT SUBSTANCE ABUSE SERVICES,PO BOX 548,NEWBURYPORT,MA,1950,648.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LINK HOUSE SUBSTANCE ABUSE SERVICES,37 WASHINGTON ST,NEWBURYPORT,MA,1950,2413.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NEWBURYPORT MONTESSORI SCHOOL INC,20 PLEASANT ST,NEWBURYPORT,MA,1950,2610.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BRIGHAM MANOR NURSING AND REHAB CENTER,77 HIGH ST,NEWBURYPORT,MA,1950,3071.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,64.0,,,,Healthcare
PORT HEALTHCARE CENTER,113 LOW ST,NEWBURYPORT,MA,1950,3540.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94.0,,,,Healthcare
ANNA JAQUES HOSPITAL SUBACUTE UNIT,25 HIGHLAND AVE,NEWBURYPORT,MA,1950,3867.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,25.0,PREMIER,,,Healthcare
MULBERRY CHILD CARE AND PRESCHOOL,1 DANIEL LUCY WAY,NEWBURYPORT,MA,1950,6220.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
HARBOR SCHOOLS-RESIDENTIAL CENTER,26 ROLFES LN,NEWBURY,MA,1951,1221.0,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WILLIAM HILTON SENIOR CENTER,43 LAFAYETTE RD,SALISBURY,MA,1952,1910.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PEABODY KINDERCARE LEARNING CENTER,520 LOWELL ST,PEABODY,MA,1960,1388.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
RENAISSANCE GARDENS AT BROOKSBY VILLAGE,400 BROOKSBY VILLAGE DR,PEABODY,MA,1960,1430.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,98.0,,,,Healthcare
PEABODY GLEN HEALTH CARE CENTER,199 ANDOVER ST,PEABODY,MA,1960,1630.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,130.0,PREMIER,,,Healthcare
ROSEWOOD NURSING-REHABILITATION CENTER,22 JOHNSON ST,PEABODY,MA,1960,2311.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128.0,,,,Healthcare
CATHOLIC CHARITIES-PEABODY CHILDCARE,13 PULASKI ST,PEABODY,MA,1960,3205.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
PILGRIM REHAB-SKILLED NURSING FACILITY,96 FOREST ST,PEABODY,MA,1960,3907.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,128.0,PREMIER,,,Healthcare
PETER A TORIGIAN COMM LIFE-SENIOR CTR,79 CENTRAL ST,PEABODY,MA,1960,4353.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
KINDRED HOSPITAL-BOSTON NORTH SHORE,15 KING ST,PEABODY,MA,1960,4379.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
INN TRANSITION-SUBSTANCE ABUSE TREATMENT,42 WASHINGTON ST,PEABODY,MA,1960,5536.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
RAINBOW NURSING CENTER,210 LOWELL ST,PEABODY,MA,1960,4201.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
PEABODY PUBLIC SCHOOL DISTRICT,21 JOHNSON ST,PEABODY,MA,1960,2310.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
LANDMARK SCHOOL RESIDENTIAL TREATMENT,PO BOX 227,PRIDES CROSSING,MA,1965,227.0,25009,ESSEX,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
DEN-MAR REHAB AND NURSING CENTER,44 SOUTH ST,ROCKPORT,MA,1966,1800.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,70.0,,,,Healthcare
SEA VIEW RETREAT,PO BOX 277,ROWLEY,MA,1969,577.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,52.0,,,,Healthcare
HEALTH ED SVC-SOLSTICE ADOLESCENT PROG,PO BOX 522,ROWLEY,MA,1969,922.0,25009,ESSEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ROWLEY COUNCIL AGING SENIOR CENTER,PO BOX 523,ROWLEY,MA,1969,923.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SALEM PUBLIC SCHOOL DISTRICT,29 HIGHLAND AVE,SALEM,MA,1970,2116.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
NORTH SHORE CHILDRENS HOSPITAL,57 HIGHLAND AVE,SALEM,MA,1970,2141.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Healthcare
NORTH SHORE MEDICAL CENTER SALEM CAMPUS,81 HIGHLAND AVE,SALEM,MA,1970,2714.0,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,UNCODED,>2000,,,,,Healthcare
SHAUGHNESSY-KAPLAN REHAB HOSPITAL SNF,1 DOVE AVE,SALEM,MA,1970,2944.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,ARAMARK,PUBLIC,501 TO 1000,33.0,,,,Healthcare
SALEM COUNCIL ON AGING SENIOR CENTER,5 BROAD ST,SALEM,MA,1970,3103.0,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HEALTH-EDUCATION SERVICES-OTPTNT AODA,162 FEDERAL ST,SALEM,MA,1970,3248.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SALEM YMCA EARLY LEARNING AND AFTER SCHL,1 SEWALL ST,SALEM,MA,1970,3405.0,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
GROSVENOR PARK NURSING CENTER,7 LORING HILLS AVE,SALEM,MA,1970,4267.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,121.0,PREMIER,,,Healthcare
NSMC OUTPATIENT MENTAL HEALTH SVCS-AODA,172 LAFAYETTE ST,SALEM,MA,1970,4815.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SALEM STATE COLLEGE,352 LAFAYETTE ST,SALEM,MA,1970,5348.0,25009,ESSEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,,,,,Educational Instituions
CASP-SUBSTANCE ABUSE TREATMENT PROGRAMS,27 CONGRESS ST,SALEM,MA,1970,5577.0,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
PINGREE EXPERIENCE CAMP,537 HIGHLAND ST,SOUTH HAMILTON,MA,1982,1316.0,25009,ESSEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
PINGREE SCHOOL,537 HIGHLAND ST,SOUTH HAMILTON,MA,1982,1316.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
GORDON-CONWELL THEOLOGICAL SEMINARY,130 ESSEX ST,SOUTH HAMILTON,MA,1982,2325.0,25009,ESSEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,UNCODED,1001 TO 2000,,,,,Educational Instituions
MASCONOMET HEALTHCARE CENTER,123 HIGH ST,TOPSFIELD,MA,1983,1921.0,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119.0,,,,Healthcare
MASCONOMET REGIONAL MIDDLE SCHOOL,20 ENDICOTT RD,TOPSFIELD,MA,1983,2013.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,,Educational Instituions
HAMILTON-WENHAM REGIONAL SCHOOL DISTRICT,5 SCHOOL ST,WENHAM,MA,1984,1427.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,1984,1813.0,25009,ESSEX,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,1001 TO 2000,,,,,Educational Instituions
PENTUCKET MIDDLE SCHOOL,20 MAIN ST,WEST NEWBURY,MA,1985,1829.0,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
PENTUCKET REGIONAL SCHOOL DISTRICT,22 MAIN ST,WEST NEWBURY,MA,1985,1829.0,25009,ESSEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
WEE FOLK LEARNING CENTER,1178 S MAIN ST,BELLINGHAM,MA,2019,1515.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BELLINGHAM SENIOR CENTER,40 BLACKSTONE ST,BELLINGHAM,MA,2019,1602.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BELLINGHAM PUBLIC SCHOOL,60 HARPIN ST,BELLINGHAM,MA,2019,2011.0,25021,NORFOLK,1122.0,PRIMARY SCHOOL,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,,Educational Instituions
CANTON SENIOR CENTER,PO BOX 54,CANTON,MA,2021,54.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
COLE HARRINGTON SCHOOL AGE ENRICHMENT,55 PECUNIT ST,CANTON,MA,2021,1246.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BLUE HILLS REGIONAL VOCATIONAL SCH DIST,800 RANDOLPH ST,CANTON,MA,2021,1358.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,,,,,Government Services
HELLENIC NURSING REHAB CENTER,601 SHERMAN ST,CANTON,MA,2021,2025.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,151.0,PREMIER,,,Healthcare
MASSACHUSETTS HOSPITAL SCHOOL,3 RANDOLPH ST,CANTON,MA,2021,2351.0,25021,NORFOLK,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,,Healthcare
TOWER HILL CENTER FOR HEALTH AND REHAB,1 MEADOWBROOK WAY,CANTON,MA,2021,2496.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,144.0,,,,Healthcare
CANTON PUBLIC SCHOOLS,960 WASHINGTON ST,CANTON,MA,2021,2574.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
MULBERRY CHILD CARE CENTERS INC,440 TURNPIKE ST,CANTON,MA,2021,2704.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
